ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'10158926873864464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158926873864464,"Pekan lalu #ClearHeadsmart mengajak kalian unjuk kemampuan memprediksi hasil akhir pertandingan EPL pekan 14.

Pemenang dipilih berdasar pada kecepatan dan ketepatan menjawab, dan selamat @rians_hasan #SikatHabis voucher MAP senilai Rp1 juta.

Sekali lagi selamat dan ayo #MenangBersamaClear!",7981,0,7981,97,0,0,11,-
'10158808210744464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158808210744464,"Sebagian besar hasil akhir di laga matchday 7 Liga Primer sesuai dengan hitung-hitungan cerdas ala #ClearHeadSmart!

#SikatHabis review berikut ini! 👇",162551,132800,30374,14502,5,3,2558,-
'10158642556894464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158642556894464,"Hujan-hujanan main bola di jalan atau di lapangan, membuat kampung berisik, itulah yang jadi favorit anak-anak dahulu. Kini, zaman dan teknologi semakin #SikatHabis ribet sehingga cara permainan juga ikut berkembang.

Jaga diri dari kuman dan polusi dengan Clear Men yang juga memberikan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",441102,425944,19292,667,2,1,5903,-
'10158632587264464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158632587264464,"Ssst...Main gim sepakbola atau yang lain kini memiliki potensi untuk menjadi sebuah profesi loh! Dengan e-sport yang semakin berkembang, peluang untuk meraih prestasi di bidang ini pun semakin lebar. Tapi, jangan lupa #SikatHabis hal-hal ribet saat latihan. Yuk simak tipsnya!

Jaga diri dari kuman dan polusi dengan Clear Men yang juga memberikan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",418173,397096,22637,346,4,0,4265,-
'10158614640769464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158614640769464,"Menonton sepakbola merupakan salah satu aktivitas paling mengasyikkan, terutama jika kamu fans salah satu klub. Ada banyak cara menikmati sajian di lapangan hijau dan semakin modern teknologi yang ada, kamu semakin bisa #SikatHabis keribetan dalam nonton bola.

Jaga diri dari kuman dan polusi dengan Clear Men yang juga memberikan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",473645,445745,43054,10118,48,38,22900,-
'10158604982624464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158604982624464,"Babak gugur turnamen top Eropa makin seru! Jangan ketinggalan tonton aksi brilian pesepakbola top di kompetisi paling bergengsi ini. Tapi, jangan lupa, #SikatHabis hal-hal ribet biar nonton kalian asyik dan seru!

Clear Men juga memberi solusi anti ribet dengan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",418240,396092,21797,32048,9,3,5256,-
'10158597390614464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158597390614464,"Selain sepakbola, kamu juga bisa melakukan olahraga lain selama masa pandemi ini karena kebiasaan normal baru bukan berarti mager di rumah! Yuk ketahui positif dan negatif jenis olahraga lain agar bisa #SikatHabis keribetan.

Jaga diri dari kuman dan polusi dengan Clear Men yang juga memberikan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",350579,326121,29133,15830,3,1,2475,-
'10158581458144464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158581458144464,"Seiring berjalannya waktu, olahraga semakin modern dan anti-ribet. Termasuk sepakbola, olahraga populer ini #SikatHabis hal ribet untuk persatuan Indonesia.

Clear Men sekarang juga memberi solusi anti ribet dengan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",1201293,1171640,51696,10638,106,147,131728,-
'10158554750929464',Goal Indonesia,Status,https://facebook.com/collabsmanager/brand/insights?page_id=174889372570036&bc_auto_shown_tagged_post_id=10158554750929464,"Dalam era new normal, kesempatan bermain sepakbola harus dimaksimalkan sebaik-baiknya. Namun, jangan sampai hal-hal ribet membuat Anda terhalang dalam beraktivitas menyehatkan ini. 

Yuk ketahui positif dan negatif jenis olahraga ini agar bisa #SikatHabis keribetan.

Jaga diri dari kuman dan polusi dengan Clear Men yang juga memberikan 3 kekuatan dalam satu kemasan. Sampo, tonik, sabun.

#CLEARMen3in1
#MandiGaRibet",749827,698654,47924,13281,63,65,48587,-
