ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'10159368656572164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10159368656572164,12 years together! My first choice with the World’s No. 1 Men’s shampoo! #12YearsWithClear #ClearMen #ClearXCristiano #menshampoo,0,0,0,761605,22838,2695,0,-
'10159027630607164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10159027630607164,"Ending 2020 with a bling. What better way to celebrate the launch of the legend shampoo than these limited-edition gold Clear trophies signed by me. Head over to CLEAR to find out how to win one of these gold trophies! Winners will be announced in 2 weeks! Good luck!

P.S not made of real gold but my real signature. #ClearMen",2191384,0,2191384,86388,2587,590,46137,-
'10158939130467164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10158939130467164,I co-created this true #Legendshampoo with CLEAR after 12 years of amazing partnership. High performance shampoo made for legends. Did I mention it smells amazing too? 😌 #ComeBackStronger  #Legendshampoo #ClearMen,4753218,0,4753218,214793,6974,1598,181731,-
'10158882929562164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10158882929562164,Excited about this collaboration with CLEAR. A legend has been made. Can’t wait to share with all of you here 😎 #ComeBackStronger  #Madelegend #legendshampoo #ClearMen,5422885,0,5422885,246417,10060,1409,202000,-
'10158793948782164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10158793948782164,"Be bold. Be brave. Be confident.
Never let your anxiety hold you back. 
What about you? Comment below and share three traits that define you. #ComeBackStronger #KeepAClearHead #ClearMen",0,0,0,373778,13687,2003,0,-
'10158737528202164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10158737528202164,"New season. New challenge. 
Build your resilience with CLEAR
#ComeBackStronger #KeepAClearHead #ClearMen",6614776,0,6614776,240909,6854,1611,256389,-
'10158674855942164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10158674855942164,"We touch our hair 96 times a day on average, transferring bacteria, dirt and grease from our hands unknowingly. I use CLEAR Men Deep Cleanse to thoroughly remove bacteria or dandruff from my scalp and hair. Try it yourself.
#KeepAClearHead #deepcleanse #keepclean #menshampoo",7759753,0,7759753,214260,8778,1646,279597,-
'10158626469717164',Cristiano Ronaldo,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=10158626469717164,"Staying healthy and hygienic is important. 
Keep a safe distance, wash your hands rigorously and don’t forget keep your hair, scalp & body clean daily. 
CLEAR has new Clear Men 3-in-1 for your hygiene needs, try it now!
 
Want to see this in your country? Comment below!
#Sikathabis #KeepAClearHead #ClearMen3in1",6112635,0,6112635,156781,3912,1117,147132,-
'3340348039335065',LaLiga,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=3340348039335065,"A Real legend led them home 🏆
Congratulations Sergio Ramos, Clear's Player of the Month!   🥇 

#KeepAClearHead",0,0,0,18499,179,140,0,-
'3262128383823698',LaLiga,Status,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=3262128383823698,"Villarreal CF's star man has hit the ground running 🏃‍♂‍

Congratulations Gerard Moreno, Clear's Player of the Month! 🌟

 #KeepAClearHead",0,0,0,5879,62,9,0,-
