ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'230751505353650',Tóc Tiên Clear Head,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=230751505353650,"Em mừng cho chịiii Tóc Tiên của emmm!!! 🥳

Không biết khi nào đứa em này mới được ra MV như chị nữa 😎

Vô xem MV ủng hộ chị tuiiii nèe!!! 🥰
https://youtu.be/rox9z4ICasY

#MaiXuanCungNhau",1141,0,1141,22,7,0,43,-
'3533596376721132',Bảo Anh,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=3533596376721132,"CÓ THIÊN NHIÊN LỢI HẠI, GÀU ĐỪNG HÒNG PHIỀN TÓC

Hồi xưa Bảo Anh thường nghĩ là dầu gội trị gàu sẽ làm tóc mình bị khô, cứng. Nhưng khi dùng thử Clear Botanique 1 tháng là Bảo Anh thay đổi suy nghĩ luôn, tóc không hề bị cứng hay khô. Mà dòng sản phẩm này của Clear giúp da đầu sạch gàu nhờn, không còn bết dính, gội xong cảm giác sảng khoái cực kì luôn.

Mùa lễ hội năm nay Bảo Anh cứ tha hồ bung xoã, tự tin quẩy hết mình luôn.
Nếu các nàng muốn sở hữu ngay bí quyết diệt gàu “xịn xò” này thì click vào đây nha:  https://bit.ly/3248wEV

#Clear #ClearBotanique #3HạtSiêuDưỡng #TócTungBay",70746,0,70746,1664,35,6,276,-
'3452479934832777',Bảo Anh,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=3452479934832777,"Cái gì xẹp quá cũng hổng tốt, tóc iu cũng vậy
Đó là chân lý mà Bảo Anh vừa rút ra được sau chuỗi ngày chạy ngược chạy xuôi ngoài đường Sài Gòn và nhận về quả đầu không thể nào xẹp và bết hơn 😭
Khó chịu quá nên Bảo Anh phải hỏi han khắp nơi để tìm loại dầu gội “trị” được các sự bết, nhờn này. Thế là chị quản lý mua cho dòng Clear Botanique 3 Hạt siêu dưỡng dùng thử. Gội bữa đầu tiên là Bảo Anh ghiền liền nhờ mùi hương cực lạ, nó fresh kiểu gì á – chắc do kết hợp từ ba loại hạt dưỡng chất: Jojoba, hạt Chia, hạt Hướng Dương

Rồi duy trì dùng khoảng hơn 1 tuần thì hơi bất ngờ, do Bảo Anh bị gàu nhẹ á, mà gội xong da đầu khô thoáng liền, mà tóc cũng hổng còn bết dính nữa! Nhiều khi chạy ngoài đường cả ngày mà tối về nhà Bảo Anh vẫn cảm nhận được độ bồng nhè nhẹ của tóc luôn.

Một mẹo nhỏ nữa để da đầu giảm nhờn đó là… gội đầu ít lại 💃🏻 hơi lạ ha, nhưng khi mình gội đầu quá thường xuyên thì chất dầu tự nhiên của da đầu bị “trôi” hết, buộc lòng da đầu phải tăng năng suất, tiết ra nhiều dầu hơn. Kinh nghiệm “xương máu” đã được chứng thực, tin Bảo Anh đi, gội đầu cách ngày  1 – 2 ngày nhaaaa 😜
Bạn có thể mua Clear Botanique 3 Hạt siêu dưỡng nhanh – gọn – lẹ ở đây nhoa:  https://bit.ly/3248wEV

#ClearBotanique #3HạtSiêuDưỡng #Clear #TócTungBay",4581204,4489586,92475,15557,192,18,69953,-
'1321331678220349',Phương Ly,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=1321331678220349,"Miền Bắc cứ vào tầm này là Ly khá vất vả với thời tiết hanh khô thôi ☹ Da đầu cứ cảm giác ngứa ngứa. Năm nào Ly cũng chật vật để tìm những sản phẩm giúp giảm vảy gàu ngứa trên da đầu. Nhưng mùa đông năm nay thì  Ly đã có tuyệt chiêu - siêu bí kíp mang tên Clear Botanique 9 Thảo Dược Quý.
 
Điều Ly thấy okilah nhất là khả năng làm sạch da đầu vượt trội của em này. Sau 2 lần sử dụng là thấy hiệu quả rõ, tóc sạch gàu và bớt ngứa hẳn, nói chung vẫn là sản phẩm mà Ly thấy phát huy công năng khá nhất. Theo Ly quan sát thì đầu tiên da đầu bớt ngứa ngáy khó chịu, sau đó mới giảm dần lượng vảy gàu khô bong tróc, cuối cùng là mang đến cảm giác da đầu sạch thoáng hết cỡ!!! 💓
Ly thì hay quên, nên chẳng nhớ hết đủ 9 cái tên, nhưng mà sơ sơ là có rau má, bồ kết, rễ nhân sâm… toàn những cái tên mà các bà các mẹ thời xưa hay dùng thôi nên cứ gọi là 👍🏻👍🏻👍🏻

Ngoài ra thì cả nhà cũng nhớ gội đầu đúng cách nhé, tức là cách 1 – 2 ngày mới gội đầu trở lại, khi gội thì mát xa nhẹ nhàng bằng phần thịt ở đầu ngón tay, tránh chà xát tóc trong suốt quá trình gội và cả lúc lau tóc nữa.
Không phải tốn nhiều thời gian sử dụng nhiều loại sản phẩm mà tóc vẫn mlem mlem, da đầu luôn thoáng mát nhẹ nhàng mùa ẩm ương thì ngại gì mình không tậu em í về nhà nhỉ: https://bit.ly/3oNLLPw

#ClearBotanique #9ThảoDượcQuý #Clear #TócTungBay",2974762,2930593,44176,4278,59,11,27766,-
'952549155156847',Tóc Tiên Clear Head,Video,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=952549155156847,"Giờ vàng livestream đã hết! Nhưng 20 phần siêu quà SANG - XỊN - MÁT vẫn ở đây đến cuối tháng! Cả nhà cứ comment nhiệt tình kèm hashtag #GộiĐầuMátLạnh #NóngQuáĐi, Chiên sẽ tổng hợp và trao quà liền tay đến những ai may mắn nhất nha!",67622,53783,12812,461,10290,97,1571,-
'153705063058295',Tóc Tiên Clear Head,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=153705063058295,"XEM CHIÊN LIVESTREAM, TRANH THỦ TƯƠNG TÁC - NHẬN QUÀ GIẢI MÁT
Thấy Huỳnh Lập livestream cosplay Chiên đỉnh-kout quá nên Chiên cũng đu theo liền nà! Livestream độc nhứt vô nhị được tám chuyện liên tục cùng Chiên, được săn loạt SIÊU QUÀ giải nóng cực đỉnh sẽ chỉ diễn ra trong 2 tiếng, từ 19:00 - 21:00 ngày 28/07/2020 ngay tại Fanpage Tóc Tiên Clear Head. Hơn 2.000 followers của Chiên nhớ nhấn “Tham gia” để nhận được đúng quà đúng thời điểm nhoa!
Mãi iu!

#nongquadi #CLEARMatLanhBacHa",1938758,1982725,5833,9100,231,63,6588,-
'3435558433140846',Tóc Tiên,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=3435558433140846,"Gần đây, Tiên rất vinh hạnh khi có dịp được chuyện trò cùng Tiến sĩ tâm lý Michael Ungar - Giám đốc Trung tâm Nghiên cứu Khả năng Phục hồi, Đại học Dalhousie về sự quan trọng của việc duy trì thói quen ngay trong mùa dịch. 

Đây cũng là một hoạt động đặc biệt trong khuôn khổ “Thử thách 14 Ngày Đầu Lạnh Tim Nóng” của Clear nhằm giúp các bạn tích đủ năng lượng, đủ sức bật, đủ rèn giũa và nhanh chóng #TrởLạiLợiHạiHơn.

Các bạn có thể cùng Tiên tham gia hoạt động bổ ích này đó:

1. Xem video trò chuyện giữa Tiên và TS. Michael Ungar tại đây

2. Tải về toàn bộ giáo trình 14 ngày Đầu Lạnh Tim Nóng để tham khảo thêm các mẹo giúp vượt qua thời điểm khó khăn này tại đây: https://bit.ly/cbspdfvietnamese.

3. Chia sẻ hình ảnh/video ghi lại cảnh bạn thực hiện một hoạt động để duy trì thói quen như-mùa-dịch-chưa-từng-đi-qua, tag CLEAR kèm #TrởLạiLợiHạiHơn để Tiên cùng xem với nha.

Tiên hi vọng với những chia sẻ của mình, các bạn sẽ có thêm một chút động lực để “khởi động lại” cuộc sống. Hãy #TrởLạiLợiHạiHơn nhé!

#Clear #ĐầuLạnh#TimNóng #ComeBackStronger #TrởLạiLợiHạiHơn",3239227,3045412,186117,11295,54,182,102469,-
'3408858279144195',Tóc Tiên,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=3408858279144195,"Mùa dịch gần như đã đi qua, thế nhưng ảnh hưởng mà nó để lại quả thật không dễ dàng gì.  

Dẫu vậy, Tiên tin rằng nếu tiếp tục giữ vững một tinh thần lạc quan, một trí óc sáng tạo thì tất cả chúng ta đều sẽ tích đủ năng lượng, đủ sức bật, đủ rèn giũa và nhanh chóng #TrởLạiLợiHạiHơn. Tranh thủ những ngày nghỉ lễ sắp tới, mình cũng nhớ tận dụng tối đa để #ComeBackStronger nha. Tiên sẽ tham gia “Hành trình 14 Ngày Đầu Lạnh Tim Nóng” kể từ ngày 01/05 cùng CLEAR. 

Chương trình sẽ lần lượt đăng tải các nội dung hướng dẫn cách rèn luyện sự kiên cường, giữ đầu lạnh tim nóng để mỗi chúng ta khám phá được sức mạnh nội tại của bản thân!   Từ bây giờ thế giới sẽ “khởi động lại”. Cuộc sống của bạn cũng thế. Hãy #TrởLạiLợiHạiHơn! Còn bây giờ mình xem video để mình lấy tinh thần, mình rần rần lên nhé!  #ĐầuLạnh #TimNóng #ComeBackStronger #TrởLạiLợiHạiHơn",147110,0,147110,1204,27,68,3365,-
'3545914645424633',Ninh Dương Lan Ngọc,Status,https://facebook.com/collabsmanager/brand/insights?page_id=359149557454798&bc_auto_shown_tagged_post_id=3545914645424633,"Xem Ngọc nhảy giỏi thế này mọi người có sích hong ạ? Xin chân chọng giới thiệu đây chính là vũ điệu “Đầu Lạnh - Tim Nóng” đang hot lắm lận. Điệu nhảy không chỉ tăng thêm vẻ ngầu lòi như Ngọc đây mà còn giúp thơ thoả đầu óc, ấm nồng trái tim mùa cách ly xã hội.

Mọi người có biết bài hát này là bài gì honggg?

Chính xác!!! Bài CHỐT LUÔN TÔI Ở NHÀ đúng rồi, #CámCon xem bản full hong che ở đây nhe:
https://www.youtube.com/watch?v=oQNXMUcHvjw

Chỉ cần mình cover lại điệu nhảy giống Ngọc bằng 1 trong 2 cách:

1. Quay clip nhảy 
2. Chụp hình với 3 động tác Đầu Lạnh, Tim Nóng, Chốt luôn tôi ở nhà rồi đăng tải lên tường nhà mình, đặt chế độ công khai, kèm bộ hashtag #ChotLuonToiONha #CLEAR #ĐầuLạnh #TimNóng #CLTON_MeCam là có cơ hội may mắn nhận được một chiếc mũ bảo hiểm 3/4 chất chơi ngầu lòi và chai dầu gội đầu CLEAR mát lạnh sảng khoái gia tăng độ ngầu.

Hết ngày 24/04 là chốt game sòi, quay chụp gì làm nhanh nhanh #CámCon ơiii❤️

#ĐầuLạnh #TimNóng #CLEAR #CLTON #CLTON_MeCam",3776043,3295457,613561,102332,2791,587,247785,-
