ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'4865485396827380',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4865485396827380,"É golaço que você quer? Então bora ver os gols mais bonitos do Corinthians, campeão do Paulistão Feminino. Tem da artilheira Gabi Nunes, tem da Rainha Grazi, Erika e da Zinedine Zanotti. Só obra prima!
#PaulistãoFeminino",278762,254705,23580,1409,44,103,11176,-
'4846256762083577',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4846256762083577,Elas são as verdadeiras culpadas pela média de gols não ser maior no nosso Paulistão. É cada defesaça para aplaudir de pé! E aí quem você acha que fez a defesa mais bonita?,281350,261755,22767,880,24,27,11186,-
'4842939159082004',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4842939159082004,"Golaço é com elas! 
Corinthians, Palmeiras, São Paulo, Santos, São José e Ferroviária. Um desses times fez o gol mais bonito do Paulistão Feminino. Façam suas apostas!.",334768,299532,38823,1555,48,49,24614,-
'4841864889189431',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4841864889189431,"De falta, cabeçada, chute de fora da área. A arte da minha artilheira é meter gol. Bora relembrar os 11 de Gabi Nunes no Paulistão Feminino de 2020.
#PaulistãoFemininoNoFB",361683,344423,18730,3190,90,130,25649,-
'4838564186186168',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4838564186186168,"Se resistir é um lema da história do futebol feminino, o Paulistão 2020 entra para a história como um símbolo de continuidade do projeto mesmo em meio a uma pandemia. Equipes de camisa, clubes tradicionais, jovens emergentes, cobertura maciça em todas as mídias e números de audiência confirmando o aumento de visibilidade da modalidade. Ferroviária e Corinthians fecharam esse momento vitorioso com o bicampeonato alvinegro e a certeza de uma sequencia ainda mais exitosa para o futebol feminino.
#PaulistãoFemininoNoFB",781534,740209,48591,6347,155,385,26520,-
'221179659463231',Paulistão Feminino,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=221179659463231,"Se resistir é um lema da história do futebol feminino, o Paulistão 2020 entra para a história como um símbolo de continuidade do projeto mesmo em meio a uma pandemia. Equipes de camisa, clubes tradicionais, jovens emergentes, cobertura maciça em todas as mídias e números de audiência confirmando o aumento de visibilidade da modalidade. Ferroviária e Corinthians fecharam esse momento vitorioso com o bicampeonato alvinegro e a certeza de uma sequencia ainda mais exitosa para o futebol feminino.
#PaulistãoFemininoNoFB",4010,0,4010,205,6,16,176,-
'4834027706639816',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4834027706639816,"O Corinthians é o grande campeão do Paulistão 2020! O título Alvinegro foi confirmado neste domingo (20), após a vitória de 5 a 0 sobre a Ferroviária. Confira os melhores momentos do jogo.
#PaulistãoFemininoNoFB",245481,212525,42392,1471,60,130,6734,-
'220494496198414',Paulistão Feminino,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=220494496198414,"O Corinthians é o grande campeão do Paulistão 2020! O título Alvinegro foi confirmado neste domingo (20), após a vitória de 5 a 0 sobre a Ferroviária. Confira os melhores momentos do jogo.
#PaulistãoFemininoNoFB",4541,0,4541,187,12,18,255,-
'385594456060844',Federação Paulista de Futebol - FPF,Video,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=385594456060844,"Ferroviária e Corinthians duelam pela taça do Paulistão Feminino de 2020.
Os times se enfrentam com transmissão AO VIVO no Facebook.
#PaulistãoFemininoNoFB",843670,557185,310363,15212,5701,1102,30791,-
'219833356264528',Paulistão Feminino,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=219833356264528,"São mais de 20 anos esbanjando gols, técnica e muita história no futebol paulista. Ela é a rainha do Paulistão Feminino e eu posso provar. Se liga no perfil da Grazi, uma das maiores vencedoras do campeonato de futebol feminino mais tradicional do país.
#Perfil",309204,304293,6375,2488,63,81,9204,-
'4829865010389419',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4829865010389419,"São mais de 20 anos esbanjando gols, técnica e muita história no futebol paulista. Ela é a rainha do Paulistão Feminino e eu posso provar. Se liga no perfil da Grazi, uma das maiores vencedoras do campeonato de futebol feminino mais tradicional do país.
#Perfil",547557,530007,20482,6030,135,124,23313,-
'4832454430130477',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4832454430130477,"Pardal x Aline Milene disputam um quiz para saber quem sabe mais da edição do Paulistão Feminino 2020.
E aí torcedor? Quem ganhou? Corinthians ou Ferroviária?
#PaulistãoFemininoNoFB",9648,0,9648,69,0,2,241,-
'220240266223837',Paulistão Feminino,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=220240266223837,"Pardal x Aline Milene disputam um quiz para saber quem sabe mais da edição do Paulistão Feminino 2020.
E aí torcedor? Quem ganhou? Corinthians ou Ferroviária?
#PaulistãoFemininoNoFB",2993,0,2993,72,1,5,195,-
'4822070171168903',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4822070171168903,"O diário de uma camisa 9!
Quando se pensa em gol no futebol brasileiro se pensa em Gláucia, artilheira do São Paulo. Rainha da resenha, engraçada e querida por onde passa. Vem conhecer minha goleadora!
#Perfil",13408,0,13603,73,0,7,172,-
'4813513458691241',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4813513458691241,"Você sabe como a história do Estadual de Futebol Feminino mais tradicional do Brasil foi construída? Grandes craques, muita luta, quebra de preconceitos, trabalho e valorização da modalidade. O resultado é o Paulistão Feminino que ano após ano revela e coloca frente a frente gerações de atletas como Sissi, Roseli, Formiga, Marta e Cristiane, além de clubes como Corinthians, Palmeiras, São Paulo, Santos, Ferroviária, São José, Portuguesa, Saad,  Taubaté, Rio Preto, Botucatu, entre tantos outros que brilharam no torneio.",425654,412074,15994,1968,66,177,18771,-
'4804470409595546',Federação Paulista de Futebol - FPF,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=4804470409595546,"De virada, o Corinthians venceu a Ferroviária por 3 a 1 e abriu vantagem na final do Paulistão Feminino 2020. Confira os melhores momentos da partida realizada neste domingo (13).
#PaulistãoFemininoNoFB",221928,188946,34837,1297,23,60,7937,-
'215832889997908',Paulistão Feminino,Status,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=215832889997908,"Ah, o futebol 💜
Uma defesa de pênalti da Luciana e, na sequência, o gol anotado por Chú!
Muita emoção na final do Paulistão Feminino.
#PaulistãoFemininoNoFB
🎥FPF TV",2839,0,2839,48,15,1,231,-
'224646525831536',Paulistão Feminino,Video,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=224646525831536,"PAULISTÃO FEMININO AO VIVO!
Assista Corinthians x Ferroviária pela Final do Paulistão Feminino 2020, exclusivo no Facebook!
#PaulistãoFeminino2020 #FutebolPaulista
#PaulistãoFemininoNoFB",36154,0,36154,4567,1466,68,6720,-
'224645335831655',Federação Paulista de Futebol - FPF,Video,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=224645335831655,"PAULISTÃO FEMININO AO VIVO!
Assista Corinthians x Ferroviária pela Final do Paulistão Feminino 2020, exclusivo no Facebook!
#PaulistãoFeminino2020 #FutebolPaulista
#PaulistãoFemininoNoFB",242916,0,242916,14290,3308,273,40062,-
'403302504336239',Federação Paulista de Futebol - FPF,Video,https://facebook.com/collabsmanager/brand/insights?page_id=166866083481130&bc_auto_shown_tagged_post_id=403302504336239,"PAULISTÃO FEMININO AO VIVO!
Assista Corinthians x Ferroviária pela Final do Paulistão Feminino 2020, exclusivo no Facebook!
#PaulistãoFeminino2020 #FutebolPaulista
#PaulistãoFemininoNoFB",485890,360519,134748,2883,1654,421,16917,-
