ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'10157995669871501',Preview.ph,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=10157995669871501,It’s a good remedy for dry and damaged hair too.,555973,555973,14,393,9,3,11566,-
'10157988995211501',Preview.ph,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=10157988995211501,It’s a good remedy for dry and damaged hair too.,128198,128198,3,7,0,0,943,-
'374378226889412',VIRAL GAMES,Video,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=374378226889412,"Follow me for more:
https://omlet.gg/d/profile/viralzygame
fbpage: https://www.facebook.com/VIRAL-GAMES-306884363350646/
#OmletArcade #MobileLegends:BangBang",66,0,66,1,0,0,2,-
'1452652018459515',GHOST Wrecker,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=1452652018459515,"Sobrang lupit ng nakaraan na #creatorgames2020, at inaasahan kong mas malupit pa ang mga darating na laro. Halos lahat ng streamer nakikita ko nag-upgrade na sila sa paglaro at pag-stream nila.

Siyempre since mga gamers lahat tayo, gusto natin mag-upgrade, kung sa skills man yan or sa ibang aspect. Ako naman, salamat sa Clear, I could #MakeTheClearUpgrade sa pag-alaga sa buhok ko! Kahit mahirap na makapagpagupit, alaga parin buhok ko dahil sa Clear. Tuloy-tuloy lang tayo!",2559964,2057496,568023,28786,1146,219,90438,-
'1230286373997352',MRVii Gaming,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=1230286373997352,"Mapa in-game man or in real life, gusto ko laging upgraded. Kaya tuloy-tuloy lang ang pag-grind at pag-improve sa lahat! Sa ML, sa streams, at siyempre, ang pinaka-clear na upgrade. With Clear, laging swabe at laging presko, kaya ready harapin ang anumang challenge, lalo na ang Creator Games!",34738,0,34738,625,60,21,870,-
'606529290056249',Ch4knu,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=606529290056249,"Bilang isang professional player at streamer, kailangan tuloy-tuloy ang pag-improve at pag-upgrade ng playstyle at tactics. Minsan, mahirap i-balanse ang pro-gaming at streaming na nagmumukha na akong haggard sa streams ko. Buti na lang nandiyan ang Clear to help me stay cool and refreshed, lalo na ngayon sa Creator Games! Kaya join me to 

#MakeTheClearUpgrade.",4772214,3823472,1237672,157893,5818,9699,414974,-
'611738722868639',Ch4knu,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=611738722868639,"Bilang isang professional player at streamer, kailangan tuloy-tuloy ang pag-improve at pag-upgrade ng playstyle at tactics. Minsan, mahirap i-balanse ang pro-gaming at streaming na nagmumukha na akong haggard sa streams ko. Buti na lang nandiyan ang Clear to help me stay cool and refreshed, lalo na ngayon sa Creator Games! Kaya join me to 

#MakeTheClearUpgrade",2054675,1589592,580684,39189,1340,1046,286499,-
'1444862829238434',GHOST Wrecker,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=1444862829238434,"Sobrang lupit ng nakaraan na #creatorgames2020, at inaasahan kong mas malupit pa ang mga darating na laro. Halos lahat ng streamer nakikita ko nag-upgrade na sila sa paglaro at pag-stream nila.

Siyempre since mga gamers lahat tayo, gusto natin mag-upgrade, kung sa skills man yan or sa ibang aspect. Ako naman, salamat sa Clear, I could #MakeTheClearUpgrade sa pag-alaga sa buhok ko! Kahit mahirap na makapagpagupit, alaga parin buhok ko dahil sa Clear. Tuloy-tuloy lang tayo!",1789869,1305720,549191,24685,1250,155,92862,-
'2579104855525869',SPIN.ph,Status,https://facebook.com/collabsmanager/brand/insights?page_id=146131338887530&bc_auto_shown_tagged_post_id=2579104855525869,It could be workout-related,502606,502606,21,221,15,38,10374,-
