Product code,BoM station,Year,Month,Day,Maximum (C),Minimum (C)
IDCJAC0010,86282,1990,3,1,24.9,18
IDCJAC0010,86282,1990,3,2,30.2,15.7
IDCJAC0010,86282,1990,3,3,28.2,17.2
IDCJAC0010,86282,1990,3,4,28.6,18
IDCJAC0010,86282,1990,3,5,25.2,17.5
IDCJAC0010,86282,1990,3,6,19.2,15
IDCJAC0010,86282,1990,3,7,21.5,9.4
IDCJAC0010,86282,1990,3,8,29.7,8.8
IDCJAC0010,86282,1990,3,9,25.4,12.6
IDCJAC0010,86282,1990,3,10,23.2,13
IDCJAC0010,86282,1990,3,11,19.3,13.2
IDCJAC0010,86282,1990,3,12,18.5,9
IDCJAC0010,86282,1990,3,13,24.5,6.1
IDCJAC0010,86282,1990,3,14,26.7,10
IDCJAC0010,86282,1990,3,15,19.4,13.2
IDCJAC0010,86282,1990,3,16,22.4,7.3
IDCJAC0010,86282,1990,3,17,29.4,9.4
IDCJAC0010,86282,1990,3,18,18.1,10
IDCJAC0010,86282,1990,3,19,19.7,13.9
IDCJAC0010,86282,1990,3,20,23,11.4
IDCJAC0010,86282,1990,3,21,22.4,11.9
IDCJAC0010,86282,1990,3,22,29,10.5
IDCJAC0010,86282,1990,3,23,30.8,14.8
IDCJAC0010,86282,1990,3,24,31.2,16.8
IDCJAC0010,86282,1990,3,25,31.4,15.6
IDCJAC0010,86282,1990,3,26,31.2,17
IDCJAC0010,86282,1990,3,27,31.2,-999
IDCJAC0010,86282,1990,3,28,21.6,-999
IDCJAC0010,86282,1990,3,29,20.4,5.9
IDCJAC0010,86282,1990,3,30,19.2,-999
IDCJAC0010,86282,1990,3,31,19.8,9
